name,modifiedlines
StartupChecks.java,	2
SigarLibrary.java,	2
ColumnFamilyStoreTest.java,	2
SnapshotDeletingTest.java,	2
SSTableWriterTestBase.java,	2
RepairOptionTest.java,	2
StorageServiceServerTest.java,	2
StaticColumnsTest.java,	2
Directories.java,	2
Version.java,	2
CommitLogStressTest.java,	2
ViewTest.java,	2
LegacySSTableTest.java,	2
StreamTransferTaskTest.java,	2
Selection.java,	2
CompactionController.java,	2
LazilyInitializedUnfilteredRowIterator.java,	2
WrappingUnfilteredRowIterator.java,	2
ViewUpdateGenerator.java,	2
OpOrder.java,	2
StorageService.java,	2
MessageOut.java,	2
MessageOut.java,	2
ISSTableScanner.java,	2
EstimatedHistogram.java,	2
RepairJob.java,	2
RepairSessionTest.java,	2
Server.java,	2
StreamingTransferTest.java,	2
ColumnIdentifier.java,	2
UpdateStatement.java,	2
Attributes.java,	2
QueryProcessor.java,	2
AuthenticationStatement.java,	2
AuthorizationStatement.java,	2
DropIndexStatement.java,	2
SchemaAlteringStatement.java,	2
TruncateStatement.java,	2
SystemKeyspace.java,	2
ViewBuilder.java,	2
RepairRunnable.java,	2
TraceStateImpl.java,	2
AuthResponse.java,	2
CredentialsMessage.java,	2
OptionsMessage.java,	2
PrepareMessage.java,	2
RegisterMessage.java,	2
StartupMessage.java,	2
PstmtPersistenceTest.java,	2
Config.java,	2
ReadCommandVerbHandler.java,	2
Monitorable.java,	2
StorageProxy.java,	2
ReadCommand.java,	2
MessageIn.java,	2
StandaloneSSTableUtil.java,	2
StandaloneScrubber.java,	2
StandaloneSplitter.java,	2
StandaloneVerifier.java,	2
RowTest.java,	2
SnapshotDeletingTest.java,	2
HelpersTest.java,	2
ViewTest.java,	2
RowsTest.java,	2
FailureDetectorTest.java,	2
SSTableWriterTestBase.java,	2
CloudstackSnitchTest.java,	2
EC2SnitchTest.java,	2
GoogleCloudSnitchTest.java,	2
DataResolverTest.java,	2
LeaveAndBootstrapTest.java,	2
SerializationsTest.java,	2
ResponseVerbHandler.java,	2
DatabaseDescriptor.java,	2
NodeTool.java,	2
MigrationManager.java,	2
StorageServiceMBean.java,	2
ProposeCallback.java,	2
StorageService.java,	2
CommitLogSegmentReader.java,	2
PerSSTableIndexWriter.java,	2
IndexSummaryBuilder.java,	2
ChecksummedRandomAccessReader.java,	2
EncryptionUtils.java,	2
Schema.java,	2
Keyspace.java,	2
CQLSSTableWriter.java,	2
MutationBench.java,	2
LegacySchemaMigrator.java,	2
LogFile.java,	2
Selectable.java,	2
SSTableReversedIterator.java,	2
StorageService.java,	2
LoadBroadcaster.java,	2
StreamReader.java,	2
CassandraVersion.java,	2
Descriptor.java,	2
ReadCommand.java,	2
OptionDistribution.java,	2
OptionRatioDistribution.java,	2
SettingsLog.java,	2
BulkLoader.java,	2
TableMetrics.java,	2
BitUtil.java,	2
OperationTest.java,	2
StressGraph.java,	2
StressProfile.java,	2
PartitionOperation.java,	2
CqlCounterAdder.java,	2
CqlCounterGetter.java,	2
CqlInserter.java,	2
CqlOperation.java,	2
CqlReader.java,	2
PredefinedOperation.java,	2
ThriftCounterAdder.java,	2
ThriftCounterGetter.java,	2
ThriftInserter.java,	2
ThriftReader.java,	2
SchemaInsert.java,	2
SchemaQuery.java,	2
SchemaStatement.java,	2
TokenRangeQuery.java,	2
ValidatingSchemaQuery.java,	2
SettingsCommandPreDefinedMixed.java,	2
